name,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,progressive
Second Nature,Hold Your Fire,1/1/1987,276373,31,0.62,0.0846,0.783,0.0164,0.0891,-7.926,0.0348,120.054,4,0
Prime Mover,Hold Your Fire,1/1/1987,318733,33,0.568,0.0885,0.88,0.00265,0.0868,-7.938,0.0366,128.221,4,0
Force Ten,Hold Your Fire,1/1/1987,271400,41,0.432,0.158,0.916,0.0037,0.0552,-7.367,0.08,169.156,4,0
Superconductor - 2004 Remaster,Presto,11/21/1989,287386,37,0.504,0.0208,0.864,0.0061,0.365,-10.257,0.0354,159.625,4,0
Scars - 2004 Remaster,Presto,11/21/1989,247400,29,0.657,0.000922,0.739,0.0193,0.344,-11.847,0.0393,127.776,4,0
Anagram - 2004 Remaster,Presto,11/21/1989,239546,28,0.658,0.00278,0.73,0.0556,0.336,-11.092,0.0268,125.79,4,0
Red Tide - 2004 Remaster,Presto,11/21/1989,270426,28,0.56,0.00927,0.798,0.294,0.334,-10.811,0.03,147.783,4,0
War Paint - 2004 Remaster,Presto,11/21/1989,324506,29,0.626,0.000932,0.735,0.00261,0.329,-10.425,0.0267,119.77,4,0
Chain Lightning - 2004 Remaster,Presto,11/21/1989,273160,31,0.662,0.0972,0.854,0.0206,0.277,-10.233,0.0281,127.737,4,0
Available Light - 2004 Remaster,Presto,11/21/1989,302480,29,0.69,0.0109,0.631,0.0692,0.167,-10.857,0.0354,129.804,4,0
The Pass - 2004 Remaster,Presto,11/21/1989,290653,42,0.706,0.0337,0.611,0.0211,0.135,-10.699,0.0281,114.732,4,0
Hand Over Fist - 2004 Remaster,Presto,11/21/1989,250826,27,0.668,0.00542,0.666,0.119,0.0779,-10.866,0.0284,119.751,4,0
Show Don't Tell - 2004 Remaster,Presto,11/21/1989,300466,40,0.586,0.00248,0.785,0.0861,0.0777,-10.614,0.034,115.788,4,0
Presto - 2004 Remaster,Presto,11/21/1989,345586,32,0.696,0.00701,0.562,0.00626,0.0775,-11.229,0.0248,111.79,4,0
Dreamline - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,276813,42,0.628,0.0268,0.884,0.0156,0.336,-9.174,0.0389,146.429,4,0
You Bet Your Life - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,300920,28,0.553,0.000806,0.913,0.0392,0.315,-8.811,0.0319,131.379,4,0
Heresy - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,325440,29,0.598,0.00236,0.783,0.135,0.195,-11.579,0.0285,113.14,4,0
Neurotica - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,280013,29,0.597,0.0187,0.876,0.0094,0.174,-9.543,0.0341,121.205,4,0
Where's My Thing - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,229120,31,0.457,0.000204,0.896,0.705,0.108,-10.762,0.0331,131.41,4,0
Face Up - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,233960,30,0.571,0.0414,0.935,0.0165,0.0932,-8.511,0.0367,151.467,4,0
Big Wheel - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,313026,30,0.585,0.000731,0.888,0.303,0.0897,-9.801,0.0288,121.251,4,0
Ghost of a Chance - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,319000,33,0.632,0.0136,0.633,0.0523,0.0824,-10.646,0.0258,121.192,4,0
Bravado - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,275120,43,0.604,0.000304,0.793,0.0125,0.0767,-9.438,0.0287,111.19,4,0
Roll the Bones - 2004 Remaster,Roll the Bones (2004 Remaster),8/20/1991,329906,45,0.659,0.0236,0.816,0.0816,0.0521,-9.678,0.0386,111.195,4,0
The Speed of Love - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,301786,29,0.526,6.92E-05,0.941,0.00224,0.411,-5.91,0.0444,115.042,4,0
Cold Fire - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,266493,34,0.485,0.000199,0.939,0.0197,0.337,-7.398,0.0521,143.964,4,0
Animate - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,363440,44,0.504,8.27E-05,0.937,0.0587,0.335,-7.859,0.0451,115.924,4,0
Alien Shore - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,346320,29,0.512,0.000279,0.941,0.00412,0.334,-6.639,0.0638,131.983,4,0
Leave That Thing Alone - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,245826,34,0.489,0.000171,0.954,0.866,0.332,-7.025,0.0525,119.976,4,0
Everyday Glory - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,311346,30,0.586,0.000154,0.829,4.50E-05,0.285,-6.565,0.0298,119.994,4,0
Nobody's Hero - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,294600,43,0.261,0.00123,0.795,5.10E-05,0.16,-6.378,0.0381,99.762,4,0
Between Sun & Moon - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,277773,30,0.511,5.74E-05,0.931,0.00242,0.148,-5.816,0.047,122.001,4,0
Stick It Out - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,270680,39,0.535,0.000237,0.946,2.85E-05,0.12,-5.17,0.0453,119.971,4,0
Double Agent - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,291360,29,0.522,1.02E-05,0.947,0.0245,0.116,-6.951,0.0607,119.948,3,0
Cut to the Chase - 2004 Remaster,Counterparts (2004 Remaster),9/28/1993,288853,31,0.493,0.000429,0.968,0.0364,0.0913,-5.638,0.0908,110.022,4,0
Limbo - 2004 Remaster,Test for Echo (2004 Remaster),9/6/1996,329026,25,0.508,2.62E-05,0.914,0.784,0.383,-6.127,0.0569,120.184,4,0
Virtuality - 2004 Remaster,Test for Echo (2004 Remaster),9/6/1996,343626,26,0.528,0.000108,0.907,0.114,0.298,-5.683,0.0494,120.05,4,0
Totem - 2004 Remaster,Test for Echo (2004 Remaster),9/6/1996,298533,27,0.573,0.00392,0.855,0.00683,0.21,-6,0.0375,120.027,4,0
Resist - 2004 Remaster,Test for Echo (2004 Remaster),9/6/1996,263373,29,0.615,0.0332,0.784,0.0106,0.189,-6.945,0.0296,119.989,3,0
Test for Echo - 2004 Remaster,Test for Echo (2004 Remaster),9/6/1996,355666,39,0.541,0.0004,0.851,0.0181,0.158,-9.239,0.035,130.209,4,0
